CUSIP Number,SEDOL Number,Local Currency Code,Trade Country Name,Security Name,Security Description,Maturity Date,Interest Rate,Original Face,Shares/Par Value,Base Market Value,Base Total Cost,Base Unrealized Gain/Loss,Base Accrued Interest,Local Market Value,Local Total Cost Amount,Local Unrealized Gain/Loss,Local Accrued Interest,Period End Date,Asset Class,Investment Type Name,Major Industry Name,Minor Industry Name,Moody's Quality Rating,S and P Quality Rating,Direct/Group Trust Holding
'25470XAL9,'B9WGB72,USD,UNITED STATES OF AMERICA (THE),DISH DBS CORP,5%   15 Mar 2023,3/15/23,5,0,575000,589375,555393.75,33981.25,8465.28,589375,555393.75,33981.25,8465.28,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba3,B+,Direct
'25470XAW5,'BVRZ8M2,USD,UNITED STATES OF AMERICA (THE),DISH DBS CORP,5.875%   15 Nov 2024,11/15/24,5.875,0,646000,689262.62,621487.5,67775.12,4849.48,689262.62,621487.5,67775.12,4849.48,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba3,B+,Direct
'25470XAW5,'BVRZ8M2,USD,UNITED STATES OF AMERICA (THE),DISH DBS CORP,5.875%   15 Nov 2024,11/15/24,5.875,0,950000,1013621.5,953107.5,60514,7131.6,1013621.5,953107.5,60514,7131.6,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba3,B+,Direct
'25470MAA7,'BD1FCQ4,USD,UNITED STATES OF AMERICA (THE),DISH NETWORK CORP,3.375%   15 Aug 2026,8/15/26,3.375,0,1785000,2164312.5,1785000,379312.5,22758.75,2164312.5,1785000,379312.5,22758.75,6/30/17,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Ba3,B-,Direct
'254845JZ4,',USD,UNITED STATES OF AMERICA (THE),DIST OF COLUMBIA WTR   SWR AUT,4.814%   01 Oct 2114,10/1/14,4.814,0,50000,53002,50000,3002,601.75,53002,50000,3002,601.75,6/30/17,FIXED INCOME,MUNICIPALS,MUNICIPAL,MUNICIPAL,Aa1,AAA,Direct
'256603AC5,'BYQ7552,USD,UNITED STATES OF AMERICA (THE),DOLE FOOD CO INC,7.25%   15 Jun 2025,6/15/25,7.25,0,150000,156000,150000,6000,2567.71,156000,150000,6000,2567.71,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Caa1,CCC+,Direct
'25746UBL2,'B3Z5XR8,USD,UNITED STATES OF AMERICA (THE),DOMINION ENERGY INC,4.45%   15 Mar 2021,3/15/21,4.45,0,160000,171128,173814.4,-2686.4,2096.44,171128,173814.4,-2686.4,2096.44,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,BBB,Direct
'25746UBT5,'BYZ5030,USD,UNITED STATES OF AMERICA (THE),DOMINION ENERGY INC,1%   01 Apr 2021,4/1/21,4.104,0,420000,440823.6,420294,20529.6,4309.2,440823.6,420294,20529.6,4309.2,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BBB,Direct
'25787GAC4,'BF0YPT0,USD,UNITED STATES OF AMERICA (THE),DONNELLEY FINANCIAL SOL,8.25%   15 Oct 2024,10/15/24,8.25,0,330000,349800,330000,19800,5747.5,349800,330000,19800,5747.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,B3,B,Direct
'260543BX0,'BG48TQ0,USD,UNITED STATES OF AMERICA (THE),DOW CHEMICAL CO/THE,8.55%   15 May 2019,5/15/19,8.55,0,500000,560020,498970,61050,5462.5,560020,498970,61050,5462.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,BBB,Direct
'233293AN9,'BYN7B35,USD,UNITED STATES OF AMERICA (THE),DPL INC,6.75%   01 Oct 2019,10/1/19,6.75,0,95000,99275,95000,4275,1603.13,99275,95000,4275,1603.13,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba3,B+,Direct
'23332UGM0,'B83WPD6,USD,UNITED STATES OF AMERICA (THE),DSLA MORTGAGE LOAN TRUST,1%   19 Apr 2047,4/19/47,1.67159,1800000,389640.44,363308.81,285033.4,78275.41,0,363308.81,285033.4,78275.41,0,6/30/17,FIXED INCOME,CMO,ASSET BACKED,OTHER ASSET BACKED,B2,CCC,Direct
'250847EG1,'B44SZ35,USD,UNITED STATES OF AMERICA (THE),DTE ELECTRIC CO,3.9%   01 Jun 2021,6/1/21,3.9,0,175000,184525.25,174536.25,9989,568.75,184525.25,174536.25,9989,568.75,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Aa3,A,Direct
'26441CAF2,'B4R7S18,USD,UNITED STATES OF AMERICA (THE),DUKE ENERGY CORP,3.55%   15 Sep 2021,9/15/21,3.55,0,1250000,1300762.5,1300037.5,725,13065.97,1300762.5,1300037.5,725,13065.97,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa1,BBB+,Direct
'693627AY7,'B0MT6P1,USD,UNITED STATES OF AMERICA (THE),DUKE ENERGY INDIANA INC,6.12%   15 Oct 2035,10/15/35,6.12,0,100000,124030,130818,-6788,1292,124030,130818,-6788,1292,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,A2,A-,Direct
'31412NAR7,',USD,UNITED STATES OF AMERICA (THE),FNMA POOL 929816,6%   01 Aug 2023,8/1/23,6,58098,4827.72,5150.02,5129.45,20.57,0,5150.02,5129.45,20.57,0,6/30/17,FIXED INCOME,FNMA,MORTGAGE PASS-THROUGH,FNMA,,,Direct
'263901AF7,'BBWX683,USD,UNITED STATES OF AMERICA (THE),DUKE ENERGY INDIANA INC,4.9%   15 Jul 2043,7/15/43,4.9,0,150000,173838,149320.5,24517.5,3389.17,173838,149320.5,24517.5,3389.17,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Aa3,A,Direct
'26442UAC8,'BD8G594,USD,UNITED STATES OF AMERICA (THE),DUKE ENERGY PROGRESS LLC,3.7%   15 Oct 2046,10/15/46,3.7,0,135000,132682.05,134655.75,-1973.7,1054.5,132682.05,134655.75,-1973.7,1054.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Aa3,A,Direct
'26443CAA1,'BZ4DLN9,USD,UNITED STATES OF AMERICA (THE),DUKE UNIVERSITY HEALTH,3.92%   01 Jun 2047,6/1/47,3.92,0,75000,75517.5,75000,517.5,204.17,75517.5,75000,517.5,204.17,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,,AA,Direct
'26613TAE0,'BHC8NZ6,USD,UNITED STATES OF AMERICA (THE),DUPONT FABROS TECH LP,5.875%   15 Sep 2021,9/15/21,5.875,0,250000,260312.5,255937.5,4375,4324.65,260312.5,255937.5,4375,4324.65,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Ba1,BB+,Direct
'26613TAF7,'BYZWYJ5,USD,UNITED STATES OF AMERICA (THE),DUPONT FABROS TECH LP,5.625%   15 Jun 2023,6/15/23,5.625,0,750000,800625,763525,37100,1875,800625,763525,37100,1875,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,REAL ESTATE,Ba1,BB+,Direct
'26817RAB4,'BLP68S3,USD,UNITED STATES OF AMERICA (THE),DYNEGY INC,5.875%   01 Jun 2023,6/1/23,5.875,0,55000,51425,51493.75,-68.75,269.27,51425,51493.75,-68.75,269.27,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,B3,B+,Direct
'26817RAP3,'BYW6T84,USD,UNITED STATES OF AMERICA (THE),DYNEGY INC,7.625%   01 Nov 2024,11/1/24,7.625,0,105000,101850,105000,-3150,1334.37,101850,105000,-3150,1334.37,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,B3,B+,Direct
'26817RAN8,'BYW6Q50,USD,UNITED STATES OF AMERICA (THE),DYNEGY INC,7.375%   01 Nov 2022,11/1/22,7.375,0,850000,839375,848437.5,-9062.5,10447.92,839375,848437.5,-9062.5,10447.92,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,B3,B+,Direct
'263534CL1,'BD45XV3,USD,UNITED STATES OF AMERICA (THE),E.I. DU PONT DE NEMOURS,2.2%   01 May 2020,5/1/20,2.2,0,150000,150814.5,149835,979.5,540.83,150814.5,149835,979.5,540.83,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,A3,A-,Direct
'26959XAA1,'BD0B4V2,USD,UNITED STATES OF AMERICA (THE),EAGLE HOLDING CO II LLC,7.625%   15 May 2022,5/15/22,7.625,0,275000,282906.25,275000,7906.25,2912.33,282906.25,275000,7906.25,2912.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Caa1,CCC+,Direct
'278642AF0,'B88WNK4,USD,UNITED STATES OF AMERICA (THE),EBAY INC,4%   15 Jul 2042,7/15/42,4,0,1000000,880190,902925,-22735,18444.44,880190,902925,-22735,18444.44,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa1,BBB+,Direct
'27890GAB6,'BYYS4D8,USD,UNITED STATES OF AMERICA (THE),ECLIPSE RESOURCES CORP,8.875%   15 Jul 2023,7/15/23,8.875,0,1125000,1119375,1101408.75,17966.25,46039.07,1119375,1101408.75,17966.25,46039.07,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Caa2,B-,Direct
'279158AJ8,'BMQXLW5,USD,UNITED STATES OF AMERICA (THE),ECOPETROL SA,5.875%   28 May 2045,5/28/45,5.875,0,100000,91800,99336,-7536,538.54,91800,99336,-7536,538.54,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,Baa3,BBB,Direct
'279158AJ8,'BMQXLW5,USD,UNITED STATES OF AMERICA (THE),ECOPETROL SA,5.875%   28 May 2045,5/28/45,5.875,0,1000000,918000,916250,1750,5385.42,918000,916250,1750,5385.42,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,Baa3,BBB,Direct
'26835PAC4,'B43VFS0,USD,UNITED STATES OF AMERICA (THE),EDP FINANCE BV,4.9%   01 Oct 2019,10/1/19,4.9,0,400000,420020,321000,99020,4900,420020,321000,99020,4900,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa3,BB+,Direct
'28176EAC2,'BF4JH73,USD,UNITED STATES OF AMERICA (THE),EDWARDS LIFESCIENCES COR,2.875%   15 Oct 2018,10/15/18,2.875,0,150000,151401,151297.5,103.5,910.42,151401,151297.5,103.5,910.42,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa3,BBB-,Direct
'27003BAA3,'BF2NM16,USD,UNITED STATES OF AMERICA (THE),ELDORADO RESORTS INC,6%   01 Apr 2025,4/1/25,6,0,75000,79500,75000,4500,1150,79500,75000,4500,1150,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B-,Direct
'285512AC3,'BYXB6B0,USD,UNITED STATES OF AMERICA (THE),ELECTRONIC ARTS INC,3.7%   01 Mar 2021,3/1/21,3.7,0,210000,218536.5,209685,8851.5,2590,218536.5,209685,8851.5,2590,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,BBB,Direct
'532457BQ0,'BDVJY04,USD,UNITED STATES OF AMERICA (THE),ELI LILLY + CO,2.35%   15 May 2022,5/15/22,2.35,0,150000,150408,149773.5,634.5,509.17,150408,149773.5,634.5,509.17,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,A2,AA-,Direct
'29081PAE5,'BF8HLP9,USD,UNITED STATES OF AMERICA (THE),EMBOTELLADORA ANDINA SA,5%   01 Oct 2023,10/1/23,5,0,200000,217422,199610,17812,2500,217422,199610,17812,2500,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,,BBB,Direct
'USD,',USD,UNITED STATES OF AMERICA (THE),US DOLLAR,,,0,0,51216.2,51216.2,51216.2,0,0,51216.2,51216.2,0,0,6/30/17,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,,,Direct
'29082HAB8,'BYQFJG5,USD,UNITED STATES OF AMERICA (THE),EMBRAER NETHERLANDS FINA,5.4%   01 Feb 2027,2/1/27,5.4,0,150000,156750,150037.5,6712.5,3375,156750,150037.5,6712.5,3375,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,,BBB,Direct
'268648AQ5,'BBFL5B0,USD,UNITED STATES OF AMERICA (THE),EMC CORP,2.65%   01 Jun 2020,6/1/20,2.65,0,125000,122653.75,120937.5,1716.25,276.04,122653.75,120937.5,1716.25,276.04,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba2,BB-,Direct
'268648AP7,'BBDY0Y9,USD,UNITED STATES OF AMERICA (THE),EMC CORP,1.875%   01 Jun 2018,6/1/18,1.875,0,195000,193906.05,194888.85,-982.8,304.69,193906.05,194888.85,-982.8,304.69,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba2,BB-,Direct
'268668BU3,',USD,UNITED STATES OF AMERICA (THE),EMC MORTGAGE LOAN TRUST,1%   25 Aug 2040,8/25/40,1.96611,1000000,45859.88,42971.1,45642.52,-2671.42,12.52,42971.1,45642.52,-2671.42,12.52,6/30/17,FIXED INCOME,OTHER ASSET BACKED,CMO,WHOLE LOAN CMOS,,B+,Direct
'29103DAJ5,'BDRHY79,USD,UNITED STATES OF AMERICA (THE),EMERA US FINANCE LP,3.55%   15 Jun 2026,6/15/26,3.55,0,125000,125290,124656.25,633.75,197.22,125290,124656.25,633.75,197.22,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BBB,Direct
'292480AG5,'BDDVXX4,USD,UNITED STATES OF AMERICA (THE),ENABLE MIDSTREAM PARTNER,2.4%   15 May 2019,5/15/19,2.4,0,100000,99608,99926,-318,306.67,99608,99926,-318,306.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BB+,Direct
'292505AH7,'B41KD63,USD,UNITED STATES OF AMERICA (THE),ENCANA CORP,6.5%   15 May 2019,5/15/19,6.5,0,275000,293306.75,312072.75,-18766,2284.03,293306.75,312072.75,-18766,2284.03,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,CANADIAN,Ba2,BBB,Direct
'29273EAA6,'BV0LDZ5,USD,UNITED STATES OF AMERICA (THE),ENDO DAC/FIN LLC/FINCO,6%   01 Feb 2025,2/1/25,6,0,200000,163000,200000,-37000,5000,163000,200000,-37000,5000,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B-,Direct
'29273DAA8,'BDHBLW5,USD,UNITED STATES OF AMERICA (THE),ENDO DAC/FIN LLC/FINCO,5.875%   15 Oct 2024,10/15/24,5.875,0,225000,231750,225000,6750,2350,231750,225000,6750,2350,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba2,BB,Direct
'29271LAD6,'BM7RZN5,USD,UNITED STATES OF AMERICA (THE),ENDO FIN LLC/ENDO FINCO,7.25%   15 Jan 2022,1/15/22,7.25,0,150000,143625,144000,-375,5014.58,143625,144000,-375,5014.58,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,B3,B-,Direct
'29268BAF8,'B4SR7B0,USD,UNITED STATES OF AMERICA (THE),ENEL FINANCE INTL NV,6%   07 Oct 2039,10/7/39,6,0,100000,118924,95271,23653,1400,118924,95271,23653,1400,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,Baa2,BBB,Direct
'29278GAB4,'BD3VQ91,USD,UNITED STATES OF AMERICA (THE),ENEL FINANCE INTL NV,2.875%   25 May 2022,5/25/22,2.875,0,230000,230319.7,229310,1009.7,661.25,230319.7,229310,1009.7,661.25,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,Baa2,BBB,Direct
'29273RBE8,'BWBXR55,USD,UNITED STATES OF AMERICA (THE),ENERGY TRANSFER LP,4.9%   15 Mar 2035,3/15/35,4.9,0,75000,72930,74857.5,-1927.5,1082.08,72930,74857.5,-1927.5,1082.08,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BBB-,Direct
'29273RBF5,'BXVMC65,USD,UNITED STATES OF AMERICA (THE),ENERGY TRANSFER LP,5.15%   15 Mar 2045,3/15/45,5.15,0,150000,145737,149658,-3921,2274.58,145737,149658,-3921,2274.58,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BBB-,Direct
'29273RBF5,'BXVMC65,USD,UNITED STATES OF AMERICA (THE),ENERGY TRANSFER LP,5.15%   15 Mar 2045,3/15/45,5.15,0,375000,364342.5,371036.25,-6693.75,5686.46,364342.5,371036.25,-6693.75,5686.46,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BBB-,Direct
'29273RAN9,'B5NGY18,USD,UNITED STATES OF AMERICA (THE),ENERGY TRANSFER LP,4.65%   01 Jun 2021,6/1/21,4.65,0,500000,527440,498177.5,29262.5,1937.5,527440,498177.5,29262.5,1937.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BBB-,Direct
'29273RAR0,'B5L3ZK7,USD,UNITED STATES OF AMERICA (THE),ENERGY TRANSFER LP,6.5%   01 Feb 2042,2/1/42,6.5,0,750000,837780,747315,90465,20312.5,837780,747315,90465,20312.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa3,BBB-,Direct
'29355XAE7,'BYPYV12,USD,UNITED STATES OF AMERICA (THE),ENPRO INDUSTRIES INC,5.875%   15 Sep 2022,9/15/22,5.875,0,150000,156375,151500,4875,2594.79,156375,151500,4875,2594.79,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B1,BB-,Direct
'29364DAR1,'BB10JT7,USD,UNITED STATES OF AMERICA (THE),ENTERGY ARKANSAS INC,3.05%   01 Jun 2023,6/1/23,3.05,0,25000,25494,24929.5,564.5,63.54,25494,24929.5,564.5,63.54,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,A2,A,Direct
'29364WAZ1,'BDZZHD2,USD,UNITED STATES OF AMERICA (THE),ENTERGY LOUISIANA LLC,3.12%   01 Sep 2027,9/1/27,3.12,0,75000,74743.5,74963.25,-219.75,247,74743.5,74963.25,-219.75,247,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,A2,A,Direct
'USD,',USD,UNITED STATES OF AMERICA (THE),US DOLLAR,,,0,0,79966.27,79966.27,79966.27,0,0,79966.27,79966.27,0,0,6/30/17,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,,,Direct
'29364WAW8,'BDFXRD6,USD,UNITED STATES OF AMERICA (THE),ENTERGY LOUISIANA LLC,3.25%   01 Apr 2028,4/1/28,3.25,0,175000,174735.75,174982.5,-246.75,1421.87,174735.75,174982.5,-246.75,1421.87,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,A2,A,Direct
'29364NAT5,'BYZK6X7,USD,UNITED STATES OF AMERICA (THE),ENTERGY MISSISSIPPI INC,2.85%   01 Jun 2028,6/1/28,2.85,0,50000,48461.5,49984,-1522.5,118.75,48461.5,49984,-1522.5,118.75,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,A2,A,Direct
'29379VBC6,'BJT1608,USD,UNITED STATES OF AMERICA (THE),ENTERPRISE PRODUCTS OPER,5.1%   15 Feb 2045,2/15/45,5.1,0,50000,54905.5,49922.5,4983,963.33,54905.5,49922.5,4983,963.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa1,BBB+,Direct
'29379VBH5,'BYMLL16,USD,UNITED STATES OF AMERICA (THE),ENTERPRISE PRODUCTS OPER,3.7%   15 Feb 2026,2/15/26,3.7,0,50000,50925,49817.5,1107.5,698.89,50925,49817.5,1107.5,698.89,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa1,BBB+,Direct
'29379VBA0,'B9M5X40,USD,UNITED STATES OF AMERICA (THE),ENTERPRISE PRODUCTS OPER,4.85%   15 Mar 2044,3/15/44,4.85,0,85000,90104.25,83691.9,6412.35,1213.84,90104.25,83691.9,6412.35,1213.84,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa1,BBB+,Direct
'29379VAP8,'B4NHZR7,USD,UNITED STATES OF AMERICA (THE),ENTERPRISE PRODUCTS OPER,5.2%   01 Sep 2020,9/1/20,5.2,0,100000,108533,99701,8832,1733.33,108533,99701,8832,1733.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa1,BBB+,Direct
'29379VBG7,'BXNT1G7,USD,UNITED STATES OF AMERICA (THE),ENTERPRISE PRODUCTS OPER,1.65%   07 May 2018,5/7/18,1.65,0,125000,124895,124851.25,43.75,309.37,124895,124851.25,43.75,309.37,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa1,BBB+,Direct
'29379VAQ6,'B4NSDP4,USD,UNITED STATES OF AMERICA (THE),ENTERPRISE PRODUCTS OPER,6.45%   01 Sep 2040,9/1/40,6.45,0,250000,314060,248812.5,65247.5,5375,314060,248812.5,65247.5,5375,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa1,BBB+,Direct
'29379VAW3,'B5LM203,USD,UNITED STATES OF AMERICA (THE),ENTERPRISE PRODUCTS OPER,4.85%   15 Aug 2042,8/15/42,4.85,0,300000,317514,298626,18888,5496.67,317514,298626,18888,5496.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa1,BBB+,Direct
'29414DAA8,'BNC0785,USD,UNITED STATES OF AMERICA (THE),ENVISION HEALTHCARE CORP,5.125%   01 Jul 2022,7/1/22,5.125,0,400000,410500,384250,26250,0,410500,384250,26250,0,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B,Direct
'26884UAD1,'BZ11Z12,USD,UNITED STATES OF AMERICA (THE),EPR PROPERTIES,4.5%   01 Jun 2027,6/1/27,4.5,0,500000,503000,496965,6035,2375,503000,496965,6035,2375,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa2,BBB-,Direct
'29380TAT2,'B7FG6G9,USD,UNITED STATES OF AMERICA (THE),EPR PROPERTIES,5.75%   15 Aug 2022,8/15/22,5.75,0,500000,552320,499990,52330,10861.11,552320,499990,52330,10861.11,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,BBB-,Direct
'29444UAR7,'BD9GGS9,USD,UNITED STATES OF AMERICA (THE),EQUINIX INC,5.375%   15 May 2027,5/15/27,5.375,0,250000,266562.5,250000,16562.5,1717.01,266562.5,250000,16562.5,1717.01,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B1,BB+,Direct
'29444UAN6,'BSP7F95,USD,UNITED STATES OF AMERICA (THE),EQUINIX INC,5.375%   01 Jan 2022,1/1/22,5.375,0,500000,527500,500000,27500,0,527500,500000,27500,0,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B1,BB+,Direct
'26884TAK8,'BCF1BV9,USD,UNITED STATES OF AMERICA (THE),ERAC USA FINANCE LLC,2.8%   01 Nov 2018,11/1/18,2.8,0,25000,25260.25,24963,297.25,116.67,25260.25,24963,297.25,116.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'26884TAN2,'BW4QF35,USD,UNITED STATES OF AMERICA (THE),ERAC USA FINANCE LLC,4.5%   15 Feb 2045,2/15/45,4.5,0,25000,24642.75,24712,-69.25,425,24642.75,24712,-69.25,425,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'26884TAP7,'BYZGCQ0,USD,UNITED STATES OF AMERICA (THE),ERAC USA FINANCE LLC,3.8%   01 Nov 2025,11/1/25,3.8,0,130000,132511.6,129754.3,2757.3,823.33,132511.6,129754.3,2757.3,823.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'26884TAH5,'B74Z6W3,USD,UNITED STATES OF AMERICA (THE),ERAC USA FINANCE LLC,3.3%   15 Oct 2022,10/15/22,3.3,0,350000,358078,345548,12530,2438.33,358078,345548,12530,2438.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'26884ABC6,'BNK00T9,USD,UNITED STATES OF AMERICA (THE),ERP OPERATING LP,2.375%   01 Jul 2019,7/1/19,2.375,0,225000,226323,224775,1548,0,226323,224775,1548,0,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,A-,Direct
'EUR,',EUR,INTERNATIONAL,EURO CURRENCY,,,0,0,9344.58,10657.96,10056.09,601.87,0,9344.58,9344.58,0,0,6/30/17,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,,,Direct
'298785HM1,',USD,UNITED STATES OF AMERICA (THE),EUROPEAN INVESTMENT BANK,2.375%   24 May 2027,5/24/27,2.375,0,3000000,2964120,3007560,-43440,7322.92,2964120,3007560,-43440,7322.92,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Aaa,,Direct
'30161MAJ2,'B4LTXL5,USD,UNITED STATES OF AMERICA (THE),EXELON GENERATION CO LLC,5.75%   01 Oct 2041,10/1/41,5.75,0,90000,91564.2,89487,2077.2,1293.75,91564.2,89487,2077.2,1293.75,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Baa2,BBB,Direct
'30161MAN3,'B715FY1,USD,UNITED STATES OF AMERICA (THE),EXELON GENERATION CO LLC,5.6%   15 Jun 2042,6/15/42,5.6,0,1000000,1004190,998130,6060,2488.89,1004190,998130,6060,2488.89,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,BBB,Direct
'30219GAL2,'BYYLHS3,USD,UNITED STATES OF AMERICA (THE),EXPRESS SCRIPTS HOLDING,3.3%   25 Feb 2021,2/25/21,3.3,0,65000,66944.15,64863.5,2080.65,750.75,66944.15,64863.5,2080.65,750.75,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,BBB+,Direct
